id_grupo_consulta,cliente,rut_integracion,barraf_m,barra_infotecnica_m,id_barra_infotecnica_m,modo_consulta,estado,motivos_bloqueo,mwh_armonizado
CONSULTA:bd3efa4fd614d8635e43e562,ACEROS AZA S.A.,92176000-0,LAMPA_________220,BA S/E LAMPA 220KV BP1,776,VECTOR_UNICO,APTO_ARMONIZADO,,26298.157813
CONSULTA:b310ceb4934bdc1527f204b1,ACF MINERA S.A.,79728000-3,N.VICTORIA____220,BA S/E TAP OFF NUEVA VICTORIA 220KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,2408.321578
CONSULTA:54d7b525af285cacb7f87b30,AES ANDES S A,94272000-9,MAITENES______110,BA S/E CENTRAL MAITENES 110KV BP1,2408,VECTOR_UNICO,APTO_ARMONIZADO,,789.025401
CONSULTA:8fa4d68d6056b8b6b5736c23,AES ANDES S A,94272000-9,QUELTEHUES____110,BA S/E CENTRAL QUELTEHUES 110KV BP1,7,VECTOR_UNICO,APTO_ARMONIZADO,,78.361661
CONSULTA:f9fe8980ef061edaee3ccbe0,AGUAS ANDINAS S A,61808000-5,QUELTEHUES____110,BA S/E CENTRAL QUELTEHUES 110KV BP1,7,VECTOR_UNICO,OMITIDO_BARRAF_AUSENTE_EN_ENS,,
CONSULTA:7a74dc8a79883c4b8b5d84c2,AGUAS DE ANTOFAGASTA S.A.,76418976-0,DESALANT______110,BA S/E DESALANT 110KV BP,2068,VECTOR_UNICO,APTO_ARMONIZADO,,10585.605875000001
CONSULTA:284a309879e2bc990b45553f,AGUAS DEL ALTIPLANO S.A.,76215634-2,P.ALMONTE_____023,BA S/E POZO ALMONTE 23KV,2244,VECTOR_UNICO,APTO_ARMONIZADO,,2225.102769
CONSULTA:611b7e3f6dbdfbbffbbb6024,AGUAS DEL ALTIPLANO S.A.,76215634-2,TAMARUGAL_____023,BA S/E TAMARUGAL 23KV BP1,2298,VECTOR_UNICO,APTO_ARMONIZADO,,1429.749764
CONSULTA:33979fe902954f9db210b946,ALBEMARLE LIMITADA,85066600-8,EL_NEGRO______110,BA S/E TAP OFF EL NEGRO 110KV BP,2326,VECTOR_UNICO,APTO_ARMONIZADO,,7371.199419
CONSULTA:d7cf675b432cd15b887ef367,ALBEMARLE LIMITADA,85066600-8,OESTE_________220,BA S/E TAP OFF OESTE 220KV,S/I,VECTOR_UNICO,APTO_ARMONIZADO,,1172.114723
CONSULTA:1f73e764dce37194c5e3aacd,ALGORTA NORTE SA,76000957-1,CHACAYA_______110,BA S/E CHACAYA 110KV BP1,2012,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,3503.742969
CONSULTA:460e86d1a0e9f9e822710ecb,ANGLO AMERICAN SUR S.A.,77762940-9,CHAGRES_______110,BA S/E FUNDICION CHAGRES 110KV BP1,1106,VECTOR_UNICO,APTO_ARMONIZADO,,11201.959309
CONSULTA:88c06a1cf4616721b4edb945,ANGLO AMERICAN SUR S.A.,77762940-9,POLPAICO______220,BA S/E POLPAICO (TRANSELEC) 220KV BP1,513,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,112268.134851
CONSULTA:e4bfffe28b4410ca5c8dbb8b,ANGLO AMERICAN SUR S.A.,77762940-9,LA_CALERA_____110,BA S/E LA CALERA 110KV BP1,1823,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,18511.259732000002
CONSULTA:9ecc3d5952d846e8735d7bca,ATACAMA MINERALS CHILE S C M,78338570-8,AG.BLANCAS____013,BA S/E AGUAS BLANCAS 13.8KV,1866,VECTOR_UNICO,APTO_ARMONIZADO,,1478.6727420000002
CONSULTA:0cc2668c0f5cd25f6a5f061c,CARTULINAS CMPC SPA,96731890-6,CHUMPULLO_____066,BA S/E CHUMPULLO 66KV,1110,VECTOR_UNICO,APTO_ARMONIZADO,,2492.0017009999997
CONSULTA:fe7d7de8f523c3b8553b276e,CARTULINAS CMPC SPA,96731890-6,PROCART_______220,BA S/E PROCART 220KV BP1,1113,VECTOR_UNICO,APTO_ARMONIZADO,,33147.221693
CONSULTA:025af07ffe7282849f11abf4,CBB CALES S.A.,96718010-6,INACESA_______023,BA S/E INACESA 23KV,2131,VECTOR_UNICO,APTO_ARMONIZADO,,3919.166249
CONSULTA:f8141271ffd063385c76dde8,CBB CALES S.A.,96718010-6,TENO__________013,BA S/E TENO 13.2KV BP1,212,VECTOR_UNICO,APTO_ARMONIZADO,,5850.079644
CONSULTA:0adead95f0ba8f20cc4324f6,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,STA.ELVIRA____066,BA S/E SANTA ELVIRA 66KV,264,VECTOR_UNICO,APTO_ARMONIZADO,,3977.137823
CONSULTA:3cff9ce2a1d31422b036d09c,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,LICANTEN______066,BA S/E LICANTEN 66KV,1763,VECTOR_UNICO,APTO_ARMONIZADO,,191.297298
CONSULTA:ae1458694aafcd0c65524368,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,PARAUCO_______220,BA S/E ARAUCO MAPA 220KV B,3283,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2665.025624
CONSULTA:d1f671fe43815dbebf8630d2,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,CIRUELOS______220,BA S/E CIRUELOS 220KV BT1,2432,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,2.201074
CONSULTA:ee71b80b7ef95ef1054106a1,CELULOSA ARAUCO Y CONSTITUCION S A,93458000-1,CONSTIT.______066,BA S/E CONSTITUCION 66KV BP1,566,VECTOR_COMPARTIDO,APTO_ARMONIZADO,,64.560793
