id_grupo_consulta,mes,id_m_persistente,version_receta,barraf_origen,factor_origen_m,fila_origen_posicion,rz_soc_suministrador,rut_suministrador,mwh_origen,mwh_destino_agregado,fila_destino_posicion
CONSULTA:b9a2b05eb464e0fe01059f87,2511,M:faf85907c08b1610887c3f9e,d97fda7b8f5987ffc019636ae81283caff8d243c905da2138913194fbf7a3760,KM6___________100,1.0,1806,Enel Generación Chile S.A.,91081000-6,512.188098,512.188098,1806
CONSULTA:2474f09eab43a8bb9d555829,2511,M:4ced74e86b040835da96593b,e1ad4f9802b6e0ca2f567825428a1aaa7e6831d6fef22ee8d3237ecbcbbe4138,NEPTUNO_______220,1.0,3085,El Pelícano Solar Company SpA,76337599-4,10774.425408,10774.425408,3085
CONSULTA:2474f09eab43a8bb9d555829,2511,M:4ced74e86b040835da96593b,e1ad4f9802b6e0ca2f567825428a1aaa7e6831d6fef22ee8d3237ecbcbbe4138,NEPTUNO_______220,1.0,3086,Enel Generación Chile S.A.,91081000-6,8709.758727999999,8709.758727999999,3086
CONSULTA:2474f09eab43a8bb9d555829,2511,M:4ced74e86b040835da96593b,e1ad4f9802b6e0ca2f567825428a1aaa7e6831d6fef22ee8d3237ecbcbbe4138,NEPTUNO_______220,1.0,3087,San Juan S.A.,76319883-9,2197.532312,2197.532312,3087
CONSULTA:ace08137a7265f64d91b6e50,2511,M:3ce9847251aacd8360c95770,cd021a8998402c189994ab91499c71670c2c097b249183f89e40d7599c34f9dd,OCHAGAVIA_____110,1.0,3094,El Pelícano Solar Company SpA,76337599-4,3437.450836,3437.450836,3094
CONSULTA:a91b01806a134f34a89f7063,2511,M:4d0ffda9ec8db5e3c445f2ca,567c4da989569d462585ae5f31e3c6eb4fffed4ac111ec2c788c3a6a3be53f8e,METRO_________110,1.0,2998,Enel Generación Chile S.A.,91081000-6,4994.436470000001,4994.436470000001,2998
CONSULTA:a91b01806a134f34a89f7063,2511,M:4d0ffda9ec8db5e3c445f2ca,567c4da989569d462585ae5f31e3c6eb4fffed4ac111ec2c788c3a6a3be53f8e,METRO_________110,1.0,2999,San Juan S.A.,76319883-9,1214.079082,1214.079082,2999
CONSULTA:1841096cfe7632307212b817,2511,M:523aebfb36c4e9958dd00c36,16ae26f83cccbc5ef0dcf243ceb9c5336f197a37ad0a2bcd5e9c36b9b40a3bf1,RENCA_________110,1.0,3991,El Pelícano Solar Company SpA,76337599-4,3036.9161839999997,3036.9161839999997,3991
CONSULTA:e0cf5304de3ca75f597934a0,2511,M:62a567223d143e31e68bcb30,1304b20fff72fa1fa4588ee9de21c739002611465cf0a27cbde73c9b3bf953cc,MACUL_________020,1.0,2738,El Pelícano Solar Company SpA,76337599-4,1618.292365,1618.292365,2738
CONSULTA:e0cf5304de3ca75f597934a0,2511,M:62a567223d143e31e68bcb30,1304b20fff72fa1fa4588ee9de21c739002611465cf0a27cbde73c9b3bf953cc,MACUL_________020,1.0,2739,Enel Generación Chile S.A.,91081000-6,1297.3474580000002,1297.3474580000002,2739
CONSULTA:e0cf5304de3ca75f597934a0,2511,M:62a567223d143e31e68bcb30,1304b20fff72fa1fa4588ee9de21c739002611465cf0a27cbde73c9b3bf953cc,MACUL_________020,1.0,2740,San Juan S.A.,76319883-9,342.808033,342.808033,2740
CONSULTA:805ab350bcb4737622a406a1,2511,M:03c845318c06e1691ab1c2d6,c22ce542ac546c904816a5f344f0831000d876d0bffb3a4f7b4fa8478bb34c23,STA_RAQUEL____020,1.0,4707,El Pelícano Solar Company SpA,76337599-4,1363.2119069999999,1363.2119069999999,4707
CONSULTA:805ab350bcb4737622a406a1,2511,M:03c845318c06e1691ab1c2d6,c22ce542ac546c904816a5f344f0831000d876d0bffb3a4f7b4fa8478bb34c23,STA_RAQUEL____020,1.0,4708,Enel Generación Chile S.A.,91081000-6,1107.747656,1107.747656,4708
CONSULTA:805ab350bcb4737622a406a1,2511,M:03c845318c06e1691ab1c2d6,c22ce542ac546c904816a5f344f0831000d876d0bffb3a4f7b4fa8478bb34c23,STA_RAQUEL____020,1.0,4709,San Juan S.A.,76319883-9,275.029339,275.029339,4709
CONSULTA:5afcdef35ee39f29e637f061,2511,M:8b13b7ab650f372926716937,55d8463770a2d0f7dc8ecec32a7be8904ac9b0f15ae3545234e3d6c85b19f1d9,CARDONES______110,1.0,753,Acciona Energía Chile Holdings S.A.,76437712-5,4203.380139999999,4203.380139999999,753
CONSULTA:e2851a986225406924d2ff54,2511,M:a6e839d186a751c1c06bd0aa,09456891462196abf93781186fc8f837289aa3b8a14b6753d9d7ae7bf0417fa5,MINERO________110,1.0,3001,Colbún S.A.,96505760-9,83933.625535,83933.625535,3001
CONSULTA:136e9cea590bd1e143631491,2511,M:61365d4888d47d15c60f1086,0ca021dd50ddfa6901bdbd4b292f6fa62c6d6efda581f6a543363e84c28d611a,SALADILLO_____066,1.0,4025,Colbún S.A.,96505760-9,19916.578986,19916.578986,4025
CONSULTA:2cb636d1ac4531b13c0e1e4f,2511,M:72db696a6e59c8d912f60de4,6a779f3c285cff351b0891aa4be6ec847213fb5205045c9261856dd93939d223,L.MAQUIS______220,1.0,2655,Colbún S.A.,96505760-9,49139.836525,49139.836525,2655
CONSULTA:9367f941d7f7f44e15b2b322,2511,M:19d9b69d28de71d2604d5f15,e6649772fbecf46548fb4e354aeb1c5d0c7c46b43843d04f7c35aa3a1918a2cd,D.ALMAGRO_____110,1.0,1485,Colbún S.A.,96505760-9,18239.760934,18239.760934,1485
CONSULTA:c430258bf8c67c3a83165861,2511,M:30287fa2b3ae251361274fa2,889e6a1339fbc67ddd4550e6dc9591665b35ae80c7973e69e7305d20c013e8fd,ENL.MAITENES__110,1.0,1238,Colbún S.A.,96505760-9,6459.627923999999,6459.627923999999,1238
CONSULTA:2e4077d1ebf065f4b7f5890f,2511,M:101e5c8c936362c759eb083b,d63576aee86453ae4b0bb87b07733980652365ade222de4a7d60989ce54c82e9,CHUQUICAMATA__220,1.0,1175,Engie Energía Chile S.A.,88006900-4,88522.571883,88522.571883,1175
CONSULTA:157d6bc33261d2264869a3f9,2511,M:f03fa3a7dedc33a32be0f505,5b547fb65f9d26ea954e2bb4f5cea3ae497545a34864b6b26a1832075a2f8422,TCHITACK______220,1.0,4863,Engie Energía Chile S.A.,88006900-4,29525.944994999998,29525.944994999998,4863
CONSULTA:d6c2d4a9a16dbca45b0961e2,2511,M:cb0756453ffec9615ea0030f,2bbe7cb74f29d2cec3dcef518f556e35600e8085e64dc08234e9d124891dbe0e,R.TOMIC_______220,1.0,3899,AES Andes S.A.,94272000-9,58051.809928999995,58051.809928999995,3899
CONSULTA:641e9490e6cdb701f74c2c10,2511,M:9a2847fdb47e950672f390f8,f0f36ca3a7191ec953fc69b9dafcc05e8d5f892e980c7be3e10c41012866be3f,SALAR_________220,1.0,4030,Engie Energía Chile S.A.,88006900-4,50062.903286,50062.903286,4030
CONSULTA:bbe432bea0fef4a989f2f96e,2511,M:e83e4e2d5fa0f11f35df3cc0,a472a8cd566e88f0b9a46e52fc00102699d331bcf434641dc77095124bd40230,ELCOBRE_______220,1.0,1551,Engie Energía Chile S.A.,88006900-4,30458.305594,30458.305594,1551
CONSULTA:1b2399a38e1bea1ccae6e59f,2511,M:673fbbe544361ed7d741ed22,b9de63370aebd05a782d25ed8cab4ac96978137bf3d81ea19a7e2234e0d3d9fd,MMH___________220,1.0,3021,AES Andes S.A.,94272000-9,47226.756314,47226.756314,3021
CONSULTA:0408091579a6678bdc26a29c,2511,M:538a3c87b7663dac2d8ffdb1,14c292325cca6cad210c72966b9bde120d8a005ac44982ad9cb3855c12ee3652,P.ALMONTE_____110,1.0,3582,Engie Energía Chile S.A.,88006900-4,42.711769999999994,42.711769999999994,3582
CONSULTA:1f73e764dce37194c5e3aacd,2511,M:096c403818d89928b8441a53,bdd4c19f3a172ab006be369664ec6df982d1df8b49d892cb4cae734059688339,CHACAYA_______110,1.0,1036,Engie Energía Chile S.A.,88006900-4,1909.439974,1909.439974,1036
CONSULTA:1f73e764dce37194c5e3aacd,2511,M:096c403818d89928b8441a53,bdd4c19f3a172ab006be369664ec6df982d1df8b49d892cb4cae734059688339,CHACAYA_______110,1.0,1037,Noracid S.A.,76858530-K,1594.302995,1594.302995,1037
CONSULTA:b104b4b0254872b67006aea9,2511,M:95ddf0ee06aa87ac63b00406,da58a30db8d019414082d3ce185bef5a91cdefa29ae5c91abc8799ca5cab72b4,MEJILLONES____023,1.0,2956,Colbún S.A.,96505760-9,1342.058662,1342.058662,2956
CONSULTA:95a62e41e607f16d08730898,2511,M:fffb9f5a48e29c0916027512,938b696cdeefd36fb335879036a2200c64eb8d171b54e154b17754b54eff584d,D.ALMAGRO_____110,1.0,1487,Imelsa Energía SpA,76472262-0,4220.080129,4220.080129,1487
CONSULTA:35ee33050bf2880f1f03ec3a,2511,M:85211d8c9b3d8514f52815e5,bf853da09c0418b69ef62a19710f5d28202b4c465edab99e7daf245e7585bd40,ANTUCOYA______220,1.0,313,Engie Energía Chile S.A.,88006900-4,28590.709866999998,28590.709866999998,313
CONSULTA:abee32de74f029ba75828ca2,2511,M:d3569a63ac9c6e05224d5065,bdad2779f80612aa2861980d7a467999cfb3add4d1f38207b663433d5f30e093,ANGAMOS_______220,1.0,294,AES Andes S.A.,94272000-9,21103.905478999997,21103.905478999997,294
CONSULTA:7fdc96663eaf2296c277c6d3,2511,M:31db8eff7fc51a8a0ab3e7ed,13ad796cd8c6a661a3546e3b2d8e888e7d01d192c36af903d695871a732a554f,CHACAYA_______004,1.0,836,Engie Energía Chile S.A.,88006900-4,1663.14016,1663.14016,836
CONSULTA:5d15556f15bb91fd40f6ce32,2511,M:f467e5b58c4cd1ed4fb5ba20,6893ef0ada7618a9284555ae23d1bfc2373e0a1a7fceb8f6d2c9fc7f20132f5b,S.GORDA_______220,1.0,4735,AES Andes S.A.,94272000-9,88058.906792,88058.906792,4735
CONSULTA:feb72d8ef85705f6699404d7,2511,M:46e0a612470357e423db1202,fce94384d6f361556569c1f564a2b8389d8532d8bef82f159b5b02cd2454567a,TVITOR________023,1.0,4857,Engie Energía Chile S.A.,88006900-4,1678.640145,1678.640145,4857
CONSULTA:6fb52b9ea5fcf153d10dc8bf,2511,M:5dbbb46cfaf9f36c03cb9b06,5ef8201d2526919c53e214fed0be16eae0502f6f486e1818ee9a9ace9109c278,PUNITAQUI2____013,1.0,3734,KDM Energía S.A.,76059578-0,2431.871354,2431.871354,3734
CONSULTA:df7d48226544d85a6bdc4bfe,2511,M:a31b7a01394d13f7660205a4,d76165a66f9bbb0b46f975534af02d7642df92c7d10a97362971ebf7a519f131,CALERA.C______062,1.0,744,Enel Generación Chile S.A.,91081000-6,5093.0574639999995,5093.0574639999995,744
CONSULTA:fa9586f2bd0ef3f83c5ca6d0,2511,M:ce0083355fb33a5be2846204,6d64312cb990709aa3d399dbe073f8afe7d7462a6daa54a34a58f83bc1ae9ace,TLIBERTADORES_110,1.0,4818,AES Andes S.A.,94272000-9,25311.822627999998,25311.822627999998,4818
CONSULTA:510a4a9b535c8ab882f54ef9,2511,M:e7a7718ad3d6996c10d4278a,84f2b41bd15a625bcdd1da88dc8743c2b3a08a8d8f0ba02e1372409eb77f4811,N.VICTORIA____220,1.0,4853,Enel Generación Chile S.A.,91081000-6,1.060532,1.060532,4853
CONSULTA:3d6093107f15b0d6b8d24c5d,2511,M:62f956a7c53eceff8f07ccea,f2c76065c90209554c101265d418311ec3508fe79550b8813717a6f1e94c8738,ATACAMA_______023,1.0,381,Enel Generación Chile S.A.,91081000-6,2422.1270980000004,2422.1270980000004,381
CONSULTA:c8e157070eb7982602d94840,2511,M:5acec3a41198a9a963e16e90,bca601c26abea67f73c831949ee9ed110e2df2f48c39ee67f99ca298a0187ee3,L.INDURA______066,1.0,2233,Guacolda Energía SpA,76418918-3,3443.077405,3443.077405,2233
CONSULTA:ca9a55adcb94aa5ddef4bbc0,2511,M:601cf2f1b6455b7a3c17452e,b3b5a968ffb2db055d63ed7aac04de91957ad7cab20ffa222daebe8cbecc25ca,INDURA________066,1.0,1725,Guacolda Energía SpA,76418918-3,2972.863964,2972.863964,1725
CONSULTA:284c60cd23ee4e39e717bec7,2511,M:cbcc61b0eb7025abb2f2f641,1926e1db6971beaf569da7e7d9219a8d6a16cd297968b016472468978e3bab96,C.PINTO_______220,1.0,774,Guacolda Energía SpA,76418918-3,11.148307,11.148307,774
CONSULTA:284a309879e2bc990b45553f,2511,M:d20562b6a1d1a4a4d545abff,aa70aa5062f0a820c0c1d9f02873ab8f75e19b6e5ec1934f2abf92706ae1db5d,P.ALMONTE_____023,1.0,3583,Acciona Energía Chile Holdings S.A.,76437712-5,1160.016355,1160.016355,3583
CONSULTA:284a309879e2bc990b45553f,2511,M:d20562b6a1d1a4a4d545abff,aa70aa5062f0a820c0c1d9f02873ab8f75e19b6e5ec1934f2abf92706ae1db5d,P.ALMONTE_____023,1.0,3584,Acciona Energía Chile Holdings S.A.,76437712-5,503.218814,503.218814,3584
CONSULTA:284a309879e2bc990b45553f,2511,M:d20562b6a1d1a4a4d545abff,aa70aa5062f0a820c0c1d9f02873ab8f75e19b6e5ec1934f2abf92706ae1db5d,P.ALMONTE_____023,1.0,3585,Acciona Energía Chile Holdings S.A.,76437712-5,561.8675999999999,561.8675999999999,3585
CONSULTA:611b7e3f6dbdfbbffbbb6024,2511,M:bd2858d0c3730e0f31cff977,e590779856ab9ea5dec7d322754fb62da844d5ce486c23aa6856066707e1e76a,TAMARUGAL_____023,1.0,4816,Acciona Energía Chile Holdings S.A.,76437712-5,1429.749764,1429.749764,4816
CONSULTA:5765d7de00e28cb3eeb490e2,2511,M:4977e3a296a9d7eb3841cc1f,1bc5b233235a3e4bad64781f55017c315b5fef645c15c646a2169fd61422aeca,FOPACO________154,1.0,1694,Enel Generación Chile S.A.,91081000-6,5782.43267,5782.43267,1694
CONSULTA:7a74dc8a79883c4b8b5d84c2,2511,M:395cd31223f9007943442828,d3e2e32a3f9e004627fb7470c145765ba1465cb5ff4016e0916cefc23f464921,DESALANT______110,1.0,1482,Enel Generación Chile S.A.,91081000-6,3253.753063,3253.753063,1482
CONSULTA:7a74dc8a79883c4b8b5d84c2,2511,M:395cd31223f9007943442828,d3e2e32a3f9e004627fb7470c145765ba1465cb5ff4016e0916cefc23f464921,DESALANT______110,1.0,1483,Engie Energía Chile S.A.,88006900-4,7331.852812,7331.852812,1483
